,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,SCFA_Treated_1,SCFA_Treated_2,SCFA_Treated_3,SCFA_Treated_4,SCFA_Treated_5,SCFA_Treated_6
Gene_0013,5.183521553071005,1.0248621707982144,4.560656224324976,5.7142251430234925,7.955788089483033,3.9634595634527052,0.42832497763727395,5.700687913356074,6.307771524054662,3.595412363964179,5.461093938406913,3.6884409763596175
Gene_0014,3.3830127942136246,3.996485912830927,6.830804235404148,5.657502219319369,3.9404795924659224,6.026534866226712,4.809776704598468,4.333924761892477,4.379218017244869,1.9043968873819375,5.528509527214678,4.919332179571913
Gene_0015,5.194155098696081,6.937289981065779,3.5958938122452953,4.3446757068044635,4.215783693735685,2.072970103735763,6.490721448155751,5.187046992877219,4.6745925968618165,3.2576139399847386,5.144306473643523,6.476474461632324
Gene_0016,5.592240554129152,5.522110544359778,5.010226913284922,4.530825733249706,2.1692585158991715,4.158709354469282,2.7133220178322786,5.174947507361479,5.466085903058968,3.5638704327634714,3.8242873901839998,5.461221697532429
Gene_0017,4.314570966946461,3.395445461556762,4.677428576667982,5.8081017136290765,8.77237180242106,5.349155625663678,2.733157963414754,5.699847430498785,3.2092912526816,7.125707386066432,9.675655490776599,3.2784863965963607
Gene_0018,5.515100781445529,4.851108168467666,1.162457569401917,4.946972249101567,5.120460419882053,9.926484224970572,6.068415724749349,3.5465161902359617,7.081908347595579,2.46948318182957,5.961173516855426,3.2540220662212946
Gene_0019,4.615278070437755,5.603094684667225,4.9305764605895135,2.662643924760936,7.285645629030041,6.503866065373549,4.586030821803263,2.937949449705386,6.644700941791507,3.326039291120826,6.103928518663655,4.311803943475335
Gene_0020,6.582063894086094,3.181225090410522,7.805588621872198,2.1962978744154382,6.173714187600541,9.380911251619956,4.771055256402274,5.295511814800257,3.4763506566823024,5.420734227081774,8.060669128708822,3.4438104283345714
Gene_0021,3.0189273497386235,3.867404540794456,5.199302730175282,3.9930486917676014,1.8986731378677346,5.137125949612055,7.34362028654769,7.996195266975569,3.367690021943912,2.089890789818896,5.60392180034353,3.905184954466254
Gene_0022,2.8753925725477902,5.9471848612703635,3.1611515315323935,8.09986881003508,3.4334934153275256,4.355876967588649,8.737206438326005,5.0696150809996645,3.3956011839296414,2.705680977976577,7.179809918181661,3.8576320518316267
Gene_0023,6.62703443473934,2.5382713671320896,5.4549198692082586,7.614285508564857,1.785033530877545,5.369267717064608,5.087657598920856,6.911605490224962,4.031483296138339,4.908142342519679,4.966863180354959,6.366649023032184
Gene_0024,5.519765588496847,6.563645743554621,2.526098578243836,2.3590867738314474,6.0438831312337955,5.5939693464663724,3.822565556522518,1.8842755846265846,2.685485848507549,2.3366850871173046,0.606225764199527,2.6813027482940015
Gene_0025,5.5009857006917535,5.692896418993952,3.6399505568430186,5.464507394322007,5.586144946597362,3.571297163947264,11.298159878503714,4.596919594060823,5.999176665323091,5.781034704279114,7.980206853023799,8.696294705188436
Gene_0026,8.731549022289514,5.947665841823575,2.617393005594703,6.313107217267659,3.050636659545357,6.574169207484904,4.682924615167087,3.16396187672207,5.184753583279848,1.8707557453283914,5.286853133714986,6.743048772175868
Gene_0027,7.317191158014808,3.358635363296579,6.926752258488643,5.825561853872997,6.64412031998898,8.793585965307894,5.077642982931951,4.615843903010784,9.865503403024714,5.814847150687308,9.36362280512376,7.001679317321686
Gene_0028,4.509223767994259,3.492527671285021,3.2209711407489534,3.3683794300691234,4.845796581171792,5.682303949633288,2.7223900637515412,4.811312436906729,1.2681486163643618,3.7605913958035684,2.6029507752808465,0.980222950106143
Gene_0029,5.553381598660038,6.654366498072047,5.026003783755814,7.907068154314634,4.470686333524088,10.440338333179238,5.674964149452798,4.473384386244168,4.6859503431105844,2.5796781131716844,8.182800735525609,6.753428372772232
Gene_0030,6.251334695530012,3.285684887167435,2.8582150038777754,5.96494483048637,4.553074429348298,6.428000988184184,4.708476907207445,1.9371648947986349,-0.015398316274285229,6.51768796960536,3.3805829695801375,1.6859116172757056
Gene_0031,5.94647524914709,4.854342174686255,3.30641256386319,1.9703055506282707,4.106970095865957,6.712797588646945,7.776925751912578,9.400017396095343,6.798584267910627,9.470953985974134,8.373376871668809,5.02547617753063
Gene_0032,5.4281874882604075,2.508522442576024,5.346361851702364,5.770634759457674,3.2322851275977342,5.307450211891056,3.652419788681047,6.915074326559535,-0.42522512762087583,4.701088613670023,2.1383375967506564,4.04689239713295
Gene_0033,5.116417436892,2.714059404338754,5.715574720696567,6.121569052736469,7.166102486350554,7.1076041040698055,4.402359821941592,4.283511244184984,3.8954774957747826,2.805712700742372,9.583822533637372,8.734924008322702
Gene_0034,2.244661264085818,3.124349920169754,6.0300705344173195,6.027571901824418,6.030095372612096,12.705462981309442,2.675868359487434,8.164233502607134,4.2010690190542945,5.258374946663421,4.873452080206168,3.680502717492068
Gene_0035,6.141781021386334,7.271131280361198,6.908003526986405,6.302782502611596,4.369461510719309,6.517938440986535,6.967704687212294,5.251773061153315,4.046897153561517,2.390821112399055,3.212809972561759,1.7172397687958063
Gene_0036,3.4543495709248564,4.526362786519982,4.029272904341793,5.163748278772645,9.629317133347017,1.2654696148165039,5.024447096830339,2.6066688154312083,4.468878974962918,7.740203707220742,7.398599145843171,4.935446211794765
Gene_0037,6.372520380749027,1.7745682576206967,4.056136268421133,7.177901193934732,5.128560038190925,2.8445104441413878,4.8258305477137,8.759749098842017,6.041512240717422,4.344387080246954,2.147963765759096,5.787746436329487
Gene_0038,3.5693925814800638,6.359195497869352,3.5392667365657267,5.43291717916395,5.091143679807628,3.6967993047883656,6.658647545165724,3.7366969509727124,5.582405510276065,4.272853410169942,4.631935201601994,0.024355884875337352
Gene_0039,9.28788817865065,6.267838044636022,0.9497148266847857,5.3729086295388555,3.676427070463224,6.704866669592448,6.8185522825437435,10.023964694288388,5.969428623728664,7.68012113827044,5.521145709765647,8.559911152811843
Gene_0040,3.4149585231345987,4.770527117066202,6.0099745579609145,6.731510388340243,2.5994071858884475,4.330997528318103,4.566953604927653,3.1215169186359866,7.665102935330255,6.85786402706443,3.7901864721436507,5.995576618835555
Gene_0041,4.050109377678088,3.693341534852576,8.530908480562193,5.809963421921911,2.4782320913299096,6.835723894109552,6.074824005640761,6.284602470022352,1.6114882080098445,7.013213082065256,3.860602074148537,4.284344133117466
Gene_0042,9.244312394025266,7.064930521102294,1.9612600680919732,4.031531854267497,7.533822298373245,3.5846610687624385,10.2757635045204,5.603746761442023,4.227355049105649,0.589411254488188,7.779528267892712,2.309580658382795
Gene_0043,5.887638856292456,6.5492681068586736,3.1461390568438343,4.8809492878764,-1.4825346801381452,2.9512247173314203,2.993122193000993,4.337295401824302,7.832823583400585,6.546479973331518,4.68432498031948,5.616584127277642
Gene_0044,4.494863697213679,2.504433636070301,8.26482260786327,2.1397172440787346,4.119911026606032,5.2614811545721825,1.4793598609083412,3.05305915107936,2.7698729349763664,5.949505596854179,5.711084311709531,3.4855401896696714
Gene_0045,7.8825465781322315,2.1282756976411212,7.326327504309919,5.020466122039174,3.036982697904098,5.924206948526542,4.275304884907795,6.483644588780253,4.816063067593907,2.836171262573734,4.1934244161781224,5.169053967568649
Gene_0046,5.39811939114694,3.799566245682411,5.139604169980037,4.22937280627648,5.227034690502496,6.324261349042093,6.820431567329491,4.632943655685694,2.581602577520788,5.113483366593639,5.226912080113105,5.3716752578055065
Gene_0047,8.172033632290704,2.524369002346302,9.266066749312532,1.0958244009549962,4.6964298099288335,6.176634412969153,6.83974303190886,7.037846480179796,3.811578255236667,3.7677130839021133,2.9196025780890538,6.397631340560952
Gene_0048,5.561983735470065,3.7546009603588124,4.5837554992854495,4.013998130682334,3.821270486111577,6.699204194042049,7.8976402166754305,4.369836144182154,4.5171388705500135,7.933565113797952,6.011115706430015,5.8724714096021104
Gene_0049,5.714030971930095,3.6141808094786914,6.799199750866501,5.614599041753219,6.62572423767792,6.259257683847224,2.6181669880525464,6.357456138558838,3.1417273189804833,2.7319596281300838,4.306456846466576,3.8284145531026197
Gene_0050,3.3420099781558554,3.879637919606061,6.494587210246523,6.22074053086693,4.958196812071704,5.234654766617564,4.556800611229922,2.1180367309501626,6.9176326129353445,7.2553725890328575,1.1053150517183714,6.9569156113331
Gene_0051,7.55532979157685,3.8168572223283403,6.094194762340075,4.595614695132212,4.56463759354556,7.19755370397438,3.3789427403567474,6.713951073965572,4.863107014667169,5.057551128161998,4.629804701157562,7.424258408466972
Gene_0052,6.6508326979760595,6.627019272001277,7.610957614308658,5.042007683265518,6.363905942589928,4.379466486813088,2.5208239749499435,6.215680677470017,7.202660329779101,6.432680161080821,9.649397828646835,3.9421064745506023
Gene_0053,5.648332704976884,4.739713891264631,5.193991929985437,6.190314050873827,3.3635586335330547,9.184774551370921,6.9146096451870624,4.787818729317159,7.466812152705339,4.9846220085572615,4.224248436275061,7.6121444077432585
Gene_0054,2.987965237000596,2.5716227744245357,7.316221747000135,6.583325387925871,6.24823963410431,6.25669101852856,4.01687612196214,2.1745484821988876,3.966306233652343,6.238065893177065,7.784077503174183,5.222258750593024
Gene_0055,4.975506454306171,3.2054912570283367,5.151609116387453,3.6456765769757764,6.9502394668355025,4.705885236995723,7.63639413446805,2.283650157044813,4.113473070364194,4.422849765691797,4.770881145054961,5.168188776500393
Gene_0056,3.349005606414977,4.357228316694013,5.825862908551248,3.8725508943920506,3.3555592088671373,5.487374422983825,6.3818219147843855,4.11038632365902,5.278057373906251,4.909754219351897,3.1482201922177,4.772666621837129
Gene_0057,5.4899331422174455,3.9861136492577405,4.057923388763355,5.464099874715273,2.1038313170053518,2.1850724512468895,4.712680940205764,4.6698388699939075,5.063518913162902,5.151347081226772,4.13540964178534,7.5454294679425296
Gene_0058,3.563111557495128,4.573105696576306,5.621815131196009,7.950712433899104,6.7153192464040385,4.680122940073145,2.6610387415939667,3.5580597830602074,10.559927248447112,2.92401729002154,2.2924906505804827,6.468953490002436
Gene_0059,4.961967584194622,2.9949412707243823,4.96297372801522,4.422682722159723,5.645437120676179,3.345538112895354,3.714712673369877,6.041902752161652,10.621084833825122,4.674118942512955,3.6344526410127926,4.217697718076488
Gene_0060,6.038693028482345,8.065477826005155,4.782479703086285,5.8034234441978825,6.380287983422225,4.197559056228328,6.796719136693971,7.249553439971625,3.9748224060429824,6.3664248080021375,7.7805106550239795,8.57469282885965
Gene_0061,5.448184963620833,5.02518480156359,5.195352197097663,3.4539804322890673,5.049020348517885,5.9959965824909,4.507329437640304,0.39705656466002637,3.3582421551806263,4.146391610129485,4.482122406843219,4.624281197982561
Gene_0062,7.902287215590084,6.918541652170414,9.306364915023114,3.465304874223901,6.744641273441356,5.366684011476703,7.237789195861339,7.548856853375163,4.656652692150433,7.196969752103637,5.7153227332621785,5.129011945725144
Gene_0063,9.379605866435345,3.383403429289697,3.3205563156384477,3.8012147091119557,0.7522085513803862,3.948489956638478,8.99754691567405,7.150329950318454,11.176007586971206,3.803644999994874,6.46066369487676,6.531576401751908
Gene_0064,3.481734676892604,5.300787572952415,5.683511951554319,8.752341678431772,6.9008476763721,3.8461926886751936,5.878905380915981,7.535920974206178,4.951202865527686,2.1555407009875855,6.685027792910009,6.509917532283929
Gene_0065,3.203170657303284,5.983838343013011,2.3595335859587157,8.662917531708707,7.358880241442574,4.06164869579059,1.116282681241188,4.992391732658401,1.8197163386394042,3.670697804995875,3.1943821460744006,6.6185293964839715
Gene_0066,1.573730941818245,7.707744748330826,4.770920309494764,7.4756326239469235,1.8111446824112658,3.8012499540924543,5.233660348344368,2.4288179984879448,6.760131925914685,2.1323883521431712,5.660227580941887,3.3719786614168887
Gene_0067,5.010487399436366,5.093961187529484,4.099869057041513,6.2456998646949975,2.8647591412348112,4.715241029957413,1.8575904112975534,3.93830800820934,4.605159637926006,5.633375855402669,3.260201335515246,3.5372936152579078
Gene_0068,5.240591263423798,6.028877668117498,6.423229756177779,2.7507158163242615,1.9317716585287554,7.555353643797018,4.12452535519135,5.363979765245595,5.878972096017024,4.803380305091248,1.3924990318150074,5.66294179266179
Gene_0069,5.6646280239591835,3.5030269268868928,8.102303951045046,5.231349268585717,7.358594368127653,5.135036962820218,5.729122954710914,3.6396530473040984,2.4312259278549715,7.951758301007931,5.982891021788804,4.541837938156581
Gene_0070,9.121495849763974,8.510681684886409,4.502071703041853,6.943141901908711,6.290751899170295,7.737263115064698,2.725934233705025,3.356370343157308,7.605180793572464,5.275323881736092,3.898825865998587,6.019378462449312
Gene_0071,3.070153078839791,6.372102919996879,7.116848973699176,1.4825210271537714,2.63348297466845,0.9215356444797989,3.3712036251073525,8.001686060560758,7.705601069793451,4.066851857594447,3.7426595059382795,-0.23626639738455957
Gene_0072,4.461186331110884,6.435084511591924,8.004714104192056,5.14818956083955,8.257231091142584,2.2397970835702172,2.036838456897264,2.3210604500844876,5.270380681974772,4.347532591117281,2.309329025169517,4.437671915070886
Gene_0073,1.5932351212896907,4.888904602206763,5.768130897878614,4.934610503811814,0.8651157999202468,4.821759920974423,6.010674295294697,6.055678699831175,1.2006594382822375,4.743473039032338,2.233318446056779,6.803457394280548
Gene_0074,2.3910609989902936,6.339345097660077,5.733196492193697,3.1202404273452897,3.972266165326613,2.881572956222097,6.568292832706997,3.203945547351083,3.4679095951992003,4.077465899003386,0.49441321053732157,5.671936346881154
Gene_0075,4.874641805453656,6.910284641002477,3.0285479073289125,6.008093031035688,3.9394847632551184,3.4142543354753117,4.454310907319739,6.940350165135718,2.8031815640748947,3.7617541035001367,1.9869494839217694,2.9914188730114937
Gene_0076,4.785939280090885,2.929515355161252,3.892701389305636,2.604244214822303,8.929450265832779,5.070527103943458,0.967003597822276,4.792444978070966,0.7497018578363353,2.789998133194718,1.964709927058581,0.09827438023321333
Gene_0077,3.6005489840148286,5.427959821468444,4.77534390061834,4.558060800933554,6.22833340008685,6.51501542009461,1.636351362194893,3.968469134242685,0.957762891048251,4.409118042329659,1.0168929185512923,1.5368249378091998
Gene_0078,3.938997704778945,3.8483635187106398,4.449896605696712,0.39615767052883033,1.9696178756028955,7.733748534889049,6.061366246020095,3.673127685561024,5.075149718671732,4.370618342423815,5.258736013407637,0.23852178895300558
Gene_0079,8.289935427002568,4.501927920887243,6.153113926111533,5.622500309087072,11.157761616910475,7.2391498228691535,1.3406363695838341,6.231934012093676,7.0743628112981005,3.1790265929369577,4.511943295657732,5.589438505804603
Gene_0080,4.744164817038467,3.0889191187991485,1.787107359484855,5.406927271734446,3.487298509431393,2.1554925808046517,3.1504683171014793,-1.039683967006836,1.3351799812112,1.9019049460080781,4.583175760043256,7.954191079545543
Gene_0081,3.7068542315149466,2.83690399277121,8.37428327014513,6.763279513898901,4.9840547173667655,7.959888277780052,6.284151307278747,2.8968986507217576,8.026965264701758,9.622860937849342,7.889364742659575,5.373264108236919
Gene_0082,5.154736615295237,3.2774315973434724,8.046248154539315,6.077820087369317,2.925507691347087,4.619322643832784,6.915987882960038,6.3270912369968695,2.947838311608751,5.762851235068684,6.994531135317745,7.363780085117787
Gene_0083,3.2487634932304856,2.234400538071328,6.852355095063283,8.818833280940261,2.2028648523617176,6.125938473381142,4.867102049381088,4.283841107641362,7.454547644162526,2.57967899403823,5.877158581842011,2.2599467452711415
Gene_0084,3.698714861756346,4.0257492324706075,3.8152121515222617,3.2720184606403677,5.097043255889654,3.3380997671779244,7.130752544519206,4.483908968777677,7.537166471294938,5.982825512711054,2.55355953987614,7.849255464154487
Gene_0085,5.540913651559678,4.899523781101726,4.522103906267181,3.1848726759168042,3.8464573388633347,6.510782451651512,8.102490532855459,6.7645729851984315,3.47682426992756,4.3879720912851825,5.290854434811519,3.5925792013371334
Gene_0086,6.0018343752487615,3.044889510402898,5.198664610858452,6.502774246743578,1.6611894377572565,6.08672038475987,8.384693144926409,5.288652943452074,-0.4066960942147144,5.678711625512441,4.303685206365373,4.850146887763104
Gene_0087,3.674752482108307,6.141197337186319,3.4734816869149663,1.390235798670962,1.7449151242336747,5.096169893322764,1.979892016201625,4.596171185784351,5.10622787888645,3.8645998400400736,2.7342711883509354,2.5376045034703676
Gene_0088,5.519445003442963,3.191366749791183,6.277184917554748,1.6769598754620803,4.867840402705367,2.5779676004750867,5.039199233155257,3.395139920270326,6.15785729714247,5.920084647720932,8.080882479553347,7.51069956057695
Gene_0089,3.696327784395682,5.094797342632828,3.2791732694320954,4.230888911540349,7.012585618428881,3.8462162609537023,3.6286501648197396,6.640596749017929,3.0980932338110567,6.391864201881699,3.9667716024797843,2.953493553248831
Gene_0090,6.671384224130284,2.740586290684764,6.059608355830566,7.883137241315801,0.056710999745421375,3.406209489059046,3.672060397551446,-2.3090927571837354,-0.6418619467825946,2.512372060059529,3.8795467687567173,1.6182364164561927
Gene_0091,6.15414425436108,4.593909227914015,5.742291746742618,3.792029626568359,5.1731795749458,4.688645529215841,1.8411274025648026,3.364216315722989,5.782418654474788,6.163563541256725,4.967553764808118,7.313667562073977
Gene_0092,7.335564123319615,5.508841686602426,5.675205324150404,4.1762460677550655,4.024787551855013,4.134883624360758,4.090468736817607,0.8111059000968917,2.755399692787856,-0.508848494046986,2.562570941149496,6.118723815565838
Gene_0093,5.788904284756594,4.158031038359474,5.579549713792826,9.150801597290878,6.742249406863385,4.347952935664318,6.3705801694219355,7.804018651838244,4.394229512402013,7.692199589028515,4.61339154710406,7.943170165139788
Gene_0094,7.40242784432789,4.183849253956897,0.9237509296442923,2.983827378165192,1.2584161579482886,4.296973031917383,4.956286505115752,6.414462747608553,7.950224728619711,4.613144742837589,5.436777975088348,7.5777268504126045
Gene_0095,5.036836758379104,8.352874624550566,5.653854747528325,4.561798942382271,6.658811162366979,0.5777293819842297,4.7339936721398725,2.358215434987678,9.28601410916982,4.060471071325726,5.317512101875086,7.312013338902254
Gene_0096,5.471229116217132,6.541730387773933,2.042827508440317,7.287508086413858,5.676992814988829,4.169424172198397,3.7830121925375964,2.9842641735557396,5.5074745935496665,1.4138472041752208,4.424187846264159,5.490077328630812
Gene_0097,6.26556373221257,9.541385715608792,5.36373251011699,5.496441172600672,4.081278200919511,3.3003112610704166,4.460096206349672,1.913098113628506,8.188355912408024,5.207076307898351,7.862304235523482,4.4799274996391105
Gene_0098,6.660671633088491,3.2878323481822656,5.143132474438785,4.044685106469767,5.957959651492784,5.667324210573897,4.369625733428304,7.338826570888774,6.77941015806029,4.232110094266103,10.232969442942819,5.620939008267967
Gene_0099,7.075079888515798,3.979967202290506,4.460250129413257,3.042472568435385,4.111413479847776,5.754600986089704,1.319467230408863,7.656332107914666,3.9914039683747538,3.7843522147687514,1.469224825940052,8.481882973193981
Gene_0100,6.513977233290704,3.1556693516447494,6.73921184021132,7.711275717609902,5.826869806447402,8.753591625116131,2.421038825580625,5.1168989614113,6.825240645080881,5.843433866006194,4.8806913760156165,1.5966682834251675
Gene_0101,3.452421601792854,2.510690593377166,1.4425595021914428,7.9920886229783665,6.308731312708115,4.8888306581790895,3.380550328465432,5.375600676085044,3.425651860026007,5.406718919997536,6.3634868176302835,6.925005771600203
Gene_0102,5.5599372526396404,2.749021905403247,9.891503959233653,5.258442363950455,5.218789589209786,6.451533247797384,2.547641284374633,9.393292109957908,6.534958689108262,4.996571692661872,7.179073166153281,9.730815543999947
Gene_0103,5.962018463473426,5.447768048558263,3.4190510891093764,5.942936714271991,8.764048992950068,7.690840092309955,2.122559797886261,4.5494747150172925,0.24313668025334323,5.385303065296049,5.730788483850281,4.921675769114481
Gene_0104,8.186373253278795,3.9775686471376295,3.020790359482838,4.748426159800704,5.111449824577389,7.188383036941897,3.6909328580033804,0.9009709676233495,5.747067366823537,7.91086896783065,3.817963088533136,5.88011985804629
Gene_0105,1.6150707405703613,8.059100638921228,4.683984202842021,4.14623786010516,2.975791249479665,1.6902866562684613,1.8637113731598989,5.914426127385028,4.2132354045106855,3.4751640987941714,3.479272717567739,4.21277683593398
Gene_0106,6.646341167923829,5.146635934376808,2.4200782005178922,2.409842455872768,4.328430601419743,8.338043050578786,5.764866631385071,2.3756735976089645,4.205769336864295,4.917056444001704,2.8019215509362816,8.593330403350034
Gene_0107,4.48081729727279,1.9937140937637876,4.508513871828112,4.454552860504659,-0.3937732858831433,4.8914102669643755,3.293009039877317,3.6611261727330193,3.043384100355004,8.596960174276235,6.105810457198963,3.1268159875127157
Gene_0108,4.538130939582644,6.3924127296268365,8.69791218989069,7.253130059095515,4.462222618890339,2.7869481825166593,5.2998186366849245,4.024567535388194,3.927752530078121,2.744532310711371,1.4796557835784898,3.1417982725738596
Gene_0109,10.14671960649972,5.118436868028977,5.027858583825893,4.951749825779993,5.39616952153571,4.711279176152115,3.9098255400088195,8.63351125915021,2.4614177895137916,8.072313545709891,4.7773623024043985,5.598171468042212
Gene_0110,3.8526759862395275,3.9062821175192157,4.934493459568003,3.91315045773247,3.5743084346456713,5.212860455383794,6.666315533258869,3.7395014099911275,6.728496769397273,-0.4150877107623545,3.560020933556122,3.1518743853178695
Gene_0111,4.490045565158289,8.007985977165378,-0.301939616786024,7.1830137038449235,7.492170384995259,0.8532195351837011,2.4929879752564768,4.570090323842098,5.77149993636339,6.405319996998612,5.481753514400816,3.6686130702129063
Gene_0112,4.314624811839303,4.257118268008417,2.1849766105643575,3.444366624818249,2.7788483090683425,8.504540886847245,5.738032875650334,5.248571389701701,6.872112335872032,6.553873405863033,5.060952827841258,3.205493987677486
Gene_0113,6.871356786294922,7.543110189988317,6.44334412808647,2.7418964575655416,3.9509594674404527,5.978749122455836,3.6940996883358386,3.9004212807239336,4.369467332167488,5.536100855179507,6.430348780256117,4.8977626139692445
Gene_0114,2.5557443822161092,6.425996860344776,4.5193492036837295,4.250358384900805,6.421919936406983,5.88852662297208,5.032249575800945,5.286612610000008,3.9681893737353198,3.149215484714088,1.4891242053785803,3.609701283846255
Gene_0115,4.278067668361841,7.318659606728496,2.8378733448002054,6.231871213888527,6.186202515936768,4.38090712137202,5.946290906535574,3.594177123920865,4.52438592514812,5.932862574824634,6.041378992845337,2.840934295667922
Gene_0116,5.652266044484236,2.497772847229394,6.848054038413802,4.630195727114022,3.954553958961921,7.098018451673779,6.994118712907283,7.254700178710971,2.7403002855628804,3.3523262607176916,7.382181366292383,4.706292957489398
Gene_0117,3.5913126189144817,2.1830774072728807,1.8867416529521925,6.21201990269128,2.439141295007434,8.50958836396873,0.5604441050962983,2.2006369905346275,4.501260749655038,2.6739146994307963,4.173152458727118,5.064792427367157
Gene_0118,0.8361411842325559,8.392912736580076,5.422034934405237,4.806573776259215,3.9101618263821005,5.798272228704142,7.924509208069457,4.419092167544422,7.145083599145518,7.8575203240735405,7.868619338704152,5.569509186771136
Gene_0119,4.9247305951503035,7.2066037640330425,5.228455297324079,5.300603522923756,4.272775575572288,4.886108752557865,1.0734217043220515,5.92164973080773,7.0967997756270815,4.837865789129165,8.489167740150497,6.719667122934915
Gene_0120,5.615603537784119,1.5796632146867489,2.303629155788574,6.48652818804543,5.341730876255884,4.632033327294642,6.136546754305568,7.172761422411676,5.666739702521756,0.01437900120929303,4.001722097059269,7.394336054495707
Gene_0121,5.036867866130787,5.695163410723342,3.920480639381277,3.4433905491953745,5.391690510195363,3.0432544447699357,3.3848173198034077,4.553054989526122,2.9103273721938576,8.567845190403538,8.36298491483603,3.2322622097185416
Gene_0122,5.816505511428944,1.5948327915243192,7.058311274651287,5.9451949648260864,5.5120594686277515,6.965381967891028,4.051235735357054,2.291286354263959,3.5874308856252144,4.256307589377517,4.612377292758099,4.686002133516311
Gene_0123,8.330948888925153,7.028740130036261,1.3182515373367094,2.440846066528597,3.7503628446086426,5.052182100421668,10.870812412776935,2.944152469978522,1.5787932911269715,4.213819598597077,1.864023468879465,2.0150754599880143
Gene_0124,6.035318040938246,3.548512373693069,5.373533528954157,3.489234135293355,3.7769643940161037,2.1866778063035555,0.9188213662821512,1.121281834311476,1.3627188228565086,3.623511565976968,2.9190536710549457,2.908356978283942
Gene_0125,3.1535335077781914,2.2966307887673327,3.0482534940453343,7.107283593215679,3.1012022223361138,10.26476412967478,6.78846554900187,3.4673549504371475,4.4709082025905555,5.731519972185831,1.1168643987595575,0.2301889820988352
Gene_0126,5.9866358017617785,5.369672247389747,3.2832844396375727,6.4006197588179825,3.848724347524452,5.244019629290723,5.692234657595446,5.9840285611337976,9.128440269704821,5.31618975173362,6.63947943451619,4.609054712828052
Gene_0127,10.12016907653759,4.8078802005507,7.298546652571352,3.593647149748225,4.930023019006077,8.54160127127102,5.594454443170172,8.334513683499068,0.7520143637487289,5.827232515143361,9.271173460154731,5.564068438418685
Gene_0128,3.746065884424465,8.624897115993857,6.415503870910951,3.8750664482114647,6.264815478111042,6.9451088992534595,11.055765936379446,5.9326342862373735,7.0162477607354,7.874441031900838,3.237160427897766,4.989309820297201
